lon,lat,CellID,grnt_Opn,grnt_Oth,grnt_Dec,grnt_Mxd,grnt_Evg,grnt_WP,nlcd_Opn,nlcd_Oth,nlcd_Dec,nlcd_Mxd,nlcd_Evg,el,rugg,temp,precip,seas,pop,homes,roads,pWP,Train
767910.6,4802623.2,3512,0.0176,0.508,0.1976,0.2,0,0.0768,0.011770032,0.459936623,0.093254866,0.344499774,0.090538705,168.0802166,1.275619041,86.45237732,1011,359.9024048,16.70977171,1.224073353,1533.800374,31.51833409,TRUE
767910.6,4804037.4,3513,0.084,0.4068,0.0536,0.1836,0.0496,0.2224,0.028972386,0.395201449,0.034857402,0.300135808,0.240832956,174.7806018,1.192558078,85.00952911,1004,359.7775574,27.21885994,0.648980463,3565.892022,33.11453146,TRUE
767910.6,4805451.6,3514,0.0292,0.086,0.122,0.4728,0.1336,0.1564,0.005885016,0.063829787,0.15663196,0.509280217,0.264373019,170.2716634,2.657396118,85.84166336,1002.5,360.1899872,21.21305601,0.056981424,1663.914446,33.84925306,TRUE
767910.6,4806865.8,3515,0.048,0.042,0.4532,0.3176,0.082,0.0572,0.007978723,0.065159574,0.418439716,0.44858156,0.059840426,228.7417285,1.960087086,82.37261963,1098,359.4954834,34.87255552,0.031047575,3511.419202,22.53689452,TRUE
767910.6,4808280,3516,0.0256,0.0536,0.4676,0.2188,0.1116,0.1228,0.021276596,0.040289724,0.29651426,0.438207334,0.203712087,202.2989956,3.191552394,84.47856903,963,360.431366,27.69119477,0.414671227,548.3023254,27.58156028,TRUE
767910.6,4809694.2,3517,0.0096,0.0564,0.3548,0.4588,0.0888,0.0316,4.53E-04,0.013580806,0.412403803,0.452240833,0.121321865,176.1575467,3.272498875,85.13452148,930,360.8490753,10.96682511,0.068090537,2212.934743,23.53915799,TRUE
767910.6,4811108.4,3518,0.0668,0.1672,0.3116,0.2424,0.0492,0.1628,0.006790403,0.190131281,0.258488004,0.372114079,0.172476234,200.5546929,2.194964122,83.36428833,966,360.5039063,26.20079182,0.22994809,3518.577333,26.97329108,TRUE
767910.6,4812522.6,3519,0.0772,0.0732,0.3836,0.31,0.0212,0.1348,0.05387053,0.044363966,0.200543232,0.559529199,0.141693074,170.055882,2.296314159,84.04404831,937,360.9869843,81.43027586,0,2880.838297,28.62064282,TRUE
767910.6,4813936.8,3520,0.0372,0.0104,0.6336,0.2836,0.0324,0.0028,0.026708918,0.021276596,0.688546854,0.247623359,0.015844273,183.0278839,3.572971,84.1607132,905.5,361.3210297,11.03635111,0,827.0380895,18.79920213,TRUE
767910.6,4815351,3521,0.0456,0.0164,0.8088,0.1108,0.012,0.0064,0.033687943,0.018173759,0.774379433,0.164893617,0.008865248,210.3601935,3.269733723,83.15714264,915.5,361.2378387,16.96287374,0,1749.555667,14.9017655,TRUE
767910.6,4816765.2,3522,0.115918367,0.04,0.362857143,0.336326531,0.092244898,0.052653061,0.05522861,0.042100498,0.505205976,0.280217293,0.117247623,188.7449499,3.377552373,83.03572083,909,361.519928,51.05731486,0,4430.306225,24.11634224,TRUE
767910.6,4818179.4,3523,0.1632,0.4496,0.156,0.146,0.0236,0.0616,0.068356722,0.535536442,0.146220009,0.188773201,0.061113626,134.8730292,1.540713012,86.17023468,879.5,362.5587616,221.5807733,68.2305679,7241.884311,38.19330014,TRUE
767910.6,4819593.6,3524,0.0552,0.3784,0.1584,0.2984,0.0396,0.07,0.040742417,0.32729742,0.169307379,0.373019466,0.089633318,137.0495509,2.07632362,86.06428528,886.5,362.9767456,72.69497374,38.7987823,1836.028401,35.29108194,TRUE
767910.6,4821007.8,3525,0.066,0.0324,0.3284,0.372,0.1644,0.0368,0.118605704,0.011770032,0.422815754,0.313716614,0.133091897,185.7099552,3.533791119,82.85476685,907,362.3434448,34.70832912,8.317853927,2763.65423,24.68484043,TRUE
767910.6,4822422,3526,0.0724,0.2632,0.1168,0.1532,0.04,0.3544,0.026708918,0.201448619,0.054775917,0.343594387,0.373472159,119.7044621,2.62534346,84.75476074,882,363.0162964,22.02857294,1.457809282,5396.410066,40.67904029,TRUE
767910.6,4823836.2,3527,0.0108,0.0804,0.0612,0.178,0.238,0.4316,0.023492908,0.065159574,0.058953901,0.367907801,0.484485816,155.5850028,3.009638837,84.34285736,962,363.0780487,14.64592058,0.001495119,2001.585058,44.19873246,TRUE
767910.6,4825250.4,3528,0.0052,0.0152,0.2096,0.4568,0.1556,0.1576,0.028972386,0.005432322,0.201901313,0.610683567,0.153010412,181.1750809,3.937549423,81.03928375,1149,362.3812103,11.17786298,0.080275962,2879.192065,30.56858307,TRUE
767910.6,4826664.6,3529,0,0.0356,0.4376,0.3752,0.0684,0.0832,0.029877773,0.027614305,0.497962879,0.384336804,0.060208239,247.104923,4.476241497,79.78333282,1215,362.2903442,10.21757203,0.115452791,2199.405456,21.99411498,TRUE
767910.6,4828078.8,3530,0,0.0096,0.5576,0.27,0.1268,0.036,0.027161612,0.004074242,0.525577184,0.358985967,0.084200996,363.9585916,5.232648339,77.06666565,1284,361.734314,10.44928885,0.141246265,0,17.91578014,TRUE
767910.6,4829493,3531,0,0,0.5584,0.2076,0.1984,0.0356,0.007243096,0,0.275237664,0.599366229,0.11815301,443.5276409,5.104804236,69.19762039,1395.5,359.6570435,15.36716183,0.688677497,0,14.24264373,TRUE
767910.6,4830907.2,3532,0.0036,0,0.62,0.126,0.2192,0.0312,0.003989362,0.002659574,0.199024823,0.640070922,0.154255319,362.6766219,5.201442616,70.80952835,1401,360.5153503,17.50645824,0.926812495,1700.825534,13.89271163,TRUE
767910.6,4832321.4,3533,0.0168,0.04,0.5464,0.2308,0.0936,0.0724,0.014938886,0.012675419,0.300588502,0.543684925,0.128112268,284.0532403,4.623237093,75.55238342,1318,362.2657471,18.70293731,1.093353788,3521.237332,16.51969217,TRUE
767910.6,4833735.6,3534,0.2084,0.3284,0.2352,0.1164,0.016,0.0956,0.047985514,0.321412404,0.110004527,0.401086464,0.119511091,161.2883213,2.741790848,81.63571548,1046.5,364.1442261,33.56895825,2.038382334,5731.059111,28.85649615,TRUE
767910.6,4835149.8,3535,0.0844,0.362,0.2456,0.1992,0.058,0.0508,0.009506564,0.357627886,0.200090539,0.281575373,0.151199638,182.2063877,3.330057241,81.65951538,887,364.5080566,53.88979019,1.039718751,3378.598213,28.17154255,TRUE
767910.6,4836564,3536,0.0748,0.0848,0.482,0.2396,0.0668,0.052,0.036668176,0.097329108,0.456315075,0.275237664,0.134449977,226.3888425,4.097072901,79.85952377,902.5,364.12854,45.33184929,1.149802779,1900.895067,20.21140788,TRUE
767910.6,4837978.2,3537,0,0.0016,0.5504,0.3268,0.108,0.0132,0,0.003168855,0.669533726,0.270258035,0.057039384,235.984006,4.61715275,78.2404747,903,363.8693848,12.80846395,1.893425105,911.2815148,14.54368493,TRUE
767910.6,4839392.4,3538,0.1516,0.0096,0.468,0.1908,0.0904,0.0896,0.063829787,0.008865248,0.427748227,0.319148936,0.180407801,225.2331228,3.926700487,80.05357361,875.5,364.627655,19.65457026,1.65051113,918.1940169,18.95201449,TRUE
767910.6,4840806.6,3539,0,0.0132,0.48,0.3116,0.1772,0.018,0,0.002263468,0.590312359,0.305115437,0.102308737,258.7682684,5.733893639,80.40000153,856,365.078186,14.33257969,0.376942424,1299.983808,15.82978723,TRUE
767910.6,4842220.8,3540,0,0.0364,0.408,0.3512,0.1664,0.038,0.006337709,0.031688547,0.408782254,0.364870982,0.188320507,269.9034011,5.133871417,78.5083313,880,364.6403046,12.79980522,0.13321842,1491.755261,19.77615248,TRUE
767910.6,4843635,3541,0.002,0.0548,0.5952,0.23,0.0708,0.0472,4.53E-04,0.03847895,0.345405161,0.450430059,0.165233137,294.3419573,4.847872699,76.83571243,909,364.5509033,18.40279863,0.823367713,1067.993175,15.33272974,TRUE
767910.6,4845049.2,3542,0.0632,0.0676,0.2908,0.2248,0.2108,0.1428,0.026256225,0.062019013,0.138976913,0.411498416,0.361249434,207.4286365,4.62699953,79.03095245,892.5,365.3772278,30.74712178,0.967280676,1745.263495,25.32095971,TRUE
767910.6,4846463.4,3543,0.3012,0.1672,0.1032,0.1464,0.1256,0.1564,0.135355364,0.321412404,0.066545948,0.230421005,0.246265278,157.8248836,2.548179019,81.23095703,874,366.1520386,218.0498521,11.84603271,7248.996963,31.82163875,TRUE
767910.6,4847877.6,3544,0.226,0.4892,0.1688,0.0688,0,0.0472,0.103723404,0.486702128,0.040780142,0.313386525,0.055407801,150.4724785,1.413486497,82.32143021,898,366.8118896,85.52043557,31.83078452,4336.604914,24.49734043,TRUE
767910.6,4849291.8,3545,0.4732,0.2024,0.1216,0.0592,0.0288,0.1148,0.13218651,0.354911725,0.058397465,0.247170665,0.207333635,160.7212691,1.834544686,81.28333664,957.5,366.7622375,114.2079347,65.14633426,7068.465885,31.42100498,TRUE
