"cn","prev_plt_cn","state","county","fips","measyr","invyr","remper","plot_status_cd","lat","lon","elev","slope","aspect","nconds","max_condprop","reservcd","owncd","owngrpcd","fortypcd","stdage","stdszcd","dominant_species","dominant_conifer","dominant_hardwood","tpa","wp_tpa","conifer_tpa","ba","wp_ba","conifer_ba","qmd","netbdft","wp_netbdft","grosscuft","wp_grosscuft","netcuft","wp_netcuft","sward","wp_sward","conifer_sward","prop_conifer","prop_wp_conifer","LC"
171138103020004,145023557010661,23,29,23029,2014,2014,5,1,45.19996,-67.52267,285,2,0,1,1,0,46,40,801,58,3,746,261,746,2141.154218,0,242.949984,44.436792,0,13.863721,1.950669,0,0,381.912776,0,264.600201,0,0.353117,0,0.068226,0.311987440497505,0,"Mixed"
171138138020004,145023527010661,23,29,23029,2014,2014,5,1,45.0709,-67.23852,256,3,0,1,1,1,23,20,901,86,2,316,12,316,1937.581826,99.037466,1640.469428,112.272922,11.089499,54.806417,3.259446,3328.011225,0,1612.437801,108.964757,1444.39444,105.98589,0.6735,0.059922,0.332903,0.488153474797779,0.202339426786466,"Mixed"
171138136020004,145023523010661,23,29,23029,2014,2014,-9999,1,44.59372,-67.6771,158,5,290,2,0.5,0,46,40,801,31,2,316,97,316,165.235972,0,18.054138,22.087467,0,3.604004,4.95059,0,0,245.287563,0,235.672525,0,0.150738,0,0.019344,0.163169638238735,0,"Deciduous"
171137540020004,145024701010661,23,29,23029,2014,2014,5,1,44.88406,-67.83771,680,22,45,1,1,0,46,40,801,101,1,97,97,316,771.49686,0,120.36092,146.680162,0,63.054638,5.904116,6790.934645,0,2976.39041,0,2463.139456,0,0.83502,0,0.268869,0.429878431685943,0,"Mixed"
171138129020004,145023509010661,23,29,23029,2014,2014,5,1,44.80271,-67.1854,131,2,0,1,1,0,46,40,121,25,3,12,12,316,3400.77919,0,3238.812534,154.390427,0,145.721236,2.885076,1316.007914,0,1022.827345,0,888.023861,0,0.911213,0,0.852896,0.943848908455963,0,"Evergreen"
171137713020004,145023619010661,23,29,23029,2014,2014,5,1,45.16423,-67.93737,432,3,0,1,1,0,46,40,105,83,1,261,261,316,1266.163604,6.018046,312.417806,196.312311,1.797407,116.031852,5.331693,9161.425716,0,3207.166635,32.966326,2989.930123,31.977339,1.10296,0.008396,0.493311,0.591057440101146,0.0154906344164876,"Mixed"
171137691020004,145023613010661,23,29,23029,2014,2014,5,1,45.30151,-67.81397,337,6,25,1,1,0,46,40,801,96,2,371,261,371,2330.98296,0,549.349744,199.566921,0,88.660038,3.961969,3655.730624,0,1993.984656,0,1848.216201,0,1.368591,0,0.42407,0.444262193131696,0,"Mixed"
171137895020004,145023539010661,23,29,23029,2014,2014,5,1,44.74763,-67.72403,269,6,250,1,1,0,46,40,121,32,3,12,12,316,3209.24289,18.054138,2591.466496,133.08766,4.950089,114.261261,2.757426,150.093359,150.093359,932.044405,84.682826,860.946012,79.455455,0.886905,0.02312,0.718988,0.85854136288819,0.043322548313203,"Evergreen"
171137711020004,145023615010661,23,29,23029,2014,2014,5,1,45.39938,-67.94866,963,13,168,1,1,0,46,40,801,66,3,531,0,531,2051.404114,0,0,71.060431,0,0,2.52014,421.377124,0,485.014289,0,417.279749,0,0.657303,0,0,0,NA,"Deciduous"
171137538020004,145024697010661,23,29,23029,2013,2014,4,1,44.64832,-67.60452,117,12,70,1,1,0,46,40,121,57,2,12,12,316,762.730084,18.054138,714.585716,152.478901,22.256857,120.384231,6.054186,3896.866337,2600.694011,2719.182085,607.835507,2397.799207,558.399877,0.745858,0.076342,0.580629,0.789514025943825,0.18488183057796,"Evergreen"
171138100020004,145023551010661,23,29,23029,2014,2014,5,1,45.3415,-67.57952,376,2,0,1,1,0,46,40,801,43,3,261,261,316,354.023542,0,48.144368,27.856814,0,21.827199,3.798271,329.380927,0,407.323476,0,354.529307,0,0.157714,0,0.094921,0.783549726828057,0,"Evergreen"
171137637020004,145023571010661,23,29,23029,2014,2014,5,1,45.01112,-67.91339,523,6,50,1,1,0,46,40,127,73,2,241,241,316,1286.966472,74.965282,1274.93038,71.580094,1.324746,67.361309,3.193367,167.486812,0,736.013796,0,640.701933,0,0.389111,0.010894,0.363561,0.941062036045943,0.0196662745968906,"Evergreen"
171137636020004,145023569010661,23,29,23029,2013,2014,4,1,44.92615,-67.77464,584,3,0,1,1,0,46,40,123,88,1,97,97,531,942.230292,0,312.417806,135.064542,0,114.65109,5.126588,7551.465286,0,2474.334694,0,2392.914612,0,0.704761,0,0.510046,0.848861502080983,0,"Evergreen"
171138131020004,145023513010661,23,29,23029,2014,2014,5,1,44.67453,-67.18799,239,42,135,1,1,1,31,30,124,63,2,97,97,375,981.607884,0,303.65103,126.418147,0,79.647132,4.859281,1885.409302,0,1803.780406,0,1665.31145,0,0.731329,0,0.373463,0.6300292631247,0,"Mixed"
171137881020004,145023575010661,23,29,23029,2014,2014,5,1,44.857,-67.8914,270,2,0,1,1,0,46,40,401,63,1,129,129,833,252.237346,48.144368,60.18046,51.60994,27.105522,29.314533,6.12489,3090.864688,1977.466383,1159.306692,626.61302,1068.046551,599.231584,0.262539,0.110459,0.122126,0.568001687271871,0.924644509943242,"Mixed"
171138134020004,145023519010661,23,29,23029,2014,2014,5,1,44.80905,-67.54819,308,0,0,1,1,0,46,40,125,89,3,95,95,316,1406.806806,6.018046,1232.804058,68.826626,0.922008,55.152202,2.995003,0,0,631.212185,5.831487,498.437781,4.898449,0.460434,0.004922,0.370553,0.801320727242971,0.0167175192751143,"Evergreen"
171137884020004,145023581010661,23,29,23029,2014,2014,5,1,44.69997,-67.94882,177,0,0,1,1,0,46,40,126,45,3,95,95,379,1526.64714,0,1421.591628,47.733003,0,42.071656,2.394288,674.593787,0,429.397686,0,418.710612,0,0.380423,0,0.336841,0.881395540942605,0,"Evergreen"
171138133020004,145023517010661,23,29,23029,2014,2014,5,1,44.69076,-67.35831,84,10,48,1,1,0,46,40,121,27,3,12,12,316,1673.308388,0,1511.341732,55.715296,0,45.894,2.470788,0,0,232.956184,0,178.20169,0,0.374268,0,0.311901,0.823723524685214,0,"Evergreen"
