"V1","V2","V3","V4","V5","V6"
0,0,0,0.0364661160364661,0,0
0,0,0,0.635991066635991,0,0
0.298333410596667,0.01312001402624,1,0.0174988810174989,0,0
0,0,0,0.310043936310044,0,0
0.660254698320509,0.715509035431018,0,0,0.402795578402796,0.46408016339224
0.0414118910828238,0.271370950542742,0,0,0.597204421597204,0.535919836607759
0,0,0,0.239958681959835,0,0
0,0.321206145321206,0,0.665818729663275,0,0
0.508905947017812,0.0084984020084984,1,0,0.305503940305504,0
0,0,0,0.0343291961373168,0,0
0.491094052982188,0.670295452670295,0,0.0598933922395736,0,0.019681957
0,0,0,0,0.694496059694496,0.980318043
0,0,0,0,0,0
0,0.22883036322883,0,1,0,0
0.295632696591265,0,1,0,0.384120873,0.066758765
0,0,0,0,0,0
0.704367303408735,0.528091674528092,0,0,0,0
0,0.243077962243078,0,0,0.615879127,0.933241235
0,0.256924563513849,0,0.619681075619681,0,0
0,0.104071064208142,0,0.0286427530286428,0,0
0.338538010677076,0,1,0,0.048509369,0.816995715816996
0,0,0,0.351676171351676,0,0
0.402407248804814,0.579139004158278,0,0,0,0
0.259054740518109,0.0598653681197307,0,0,0.951490631,0.183004284183004
0,0.194931143389862,0,0.579634592579635,0,0
0,0.182359366364719,0,0,0,0
0.522791264045583,0,1,0,0.139529431139529,0.00471704100943408
0,0,0,0.360471771360472,0,0
0.246496838492994,0.487423295974847,0,0,0,0.378925617757851
0.230711897461424,0.135286194270572,0,0.0598936360598936,0.860470568860471,0.616357341232715
0,0,0,0.166950724333901,0.280512362841537,0
0,0.00532284802129139,0,0,0,0
0.410069144410069,0,1,0,0.189315196567946,0.709014401127043
0,0,0,0.773155883546312,0,0
0.402723223402723,0.399562708598251,0,0,0,0
0.187207632187208,0.595114443380458,0,0.0598933921197868,0.530172440590517,0.290985598872957
0,0,0,0.202205228606616,0.188211517376423,0
0,0.2435999404872,0,0,0,0
0,0,0.958968811958969,0,0.280296927560594,0.948546920948547
0,0,0,0.291494229874483,0,0
0.366246898366247,0.131773987263548,0,0.0598933921796802,0,0
0.633753101633753,0.624626072249252,0.0410311880410312,0.446407149339221,0.531491555062983,0.0514530790514531
0,0,0,0.364899230729799,0,0
0,0.00110113500220227,0,0,0,0
0.124337593124338,0.210724638421449,0.505187734010376,0,0.985132590985133,1
0,0,0,0.352601829705204,0,0
0.53355975053356,0,0,0.0252540310505081,0,0
